Comment,Designator,Footprint,LCSC,Quantity
0,R133,R_0402_1005Metric,C17168,1
100n,"C1,C103,C13,C2,C22,C3,C31,C4,C40,C49,C58,C67,C76,C85,C94",C_0402_1005Metric,C1525,15
10k,"R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99",R_0402_1005Metric,C25744,96
120,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R3,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C25079,24
~,J3,RJ45-TH_RJ45-TH_HC-RJ45-059D-2X6-2-04,C46261622,1
74HC165,U5,SOIC-16_4.55x10.3mm_P1.27mm,,1
74HC595,U1,SOIC-16_4.55x10.3mm_P1.27mm,,1
74HC165,U12,SOIC-16_4.55x10.3mm_P1.27mm,,1
74HC165,U13,SOIC-16_4.55x10.3mm_P1.27mm,,1
74HC595,U2,SOIC-16_4.55x10.3mm_P1.27mm,,1
74HC165,U8,SOIC-16_4.55x10.3mm_P1.27mm,,1
74HC165,U6,SOIC-16_4.55x10.3mm_P1.27mm,,1
Conn_01x09_Pin,J2,JST_PH_B9B-PH-SM4-TB_1x09-1MP_P2.00mm_Vertical,,1
0,R122,R_0402_1005Metric,,1
0,R127,R_0402_1005Metric,,1
74HC165,U7,SOIC-16_4.55x10.3mm_P1.27mm,,1
0,R126,R_0402_1005Metric,,1
0,R121,R_0402_1005Metric,,1
0,R132,R_0402_1005Metric,,1
74HC165,U4,SOIC-16_4.55x10.3mm_P1.27mm,,1
0,R129,R_0402_1005Metric,,1
74HC165,U15,SOIC-16_4.55x10.3mm_P1.27mm,,1
74HC595,U3,SOIC-16_4.55x10.3mm_P1.27mm,,1
0,R135,R_0402_1005Metric,,1
0,R134,R_0402_1005Metric,,1
Conn_01x09_Pin,J1,JST_PH_B9B-PH-SM4-TB_1x09-1MP_P2.00mm_Vertical,,1
0,R128,R_0402_1005Metric,,1
74HC165,U9,SOIC-16_4.55x10.3mm_P1.27mm,,1
0,R125,R_0402_1005Metric,,1
74HC165,U10,SOIC-16_4.55x10.3mm_P1.27mm,,1
0,R124,R_0402_1005Metric,,1
74HC165,U11,SOIC-16_4.55x10.3mm_P1.27mm,,1
0,R131,R_0402_1005Metric,,1
0,R123,R_0402_1005Metric,,1
0,R130,R_0402_1005Metric,,1
74HC165,U14,SOIC-16_4.55x10.3mm_P1.27mm,,1
